UserId,AppId,Recommendations,PlaytimeForever,Playtime2Weeks,MetacriticScore,FinalPrice,Publishers,Developers,Categories
ID76561198036337204,App218510,305,1,0,0,999,[Topware Interactive],[Targem Games],2-1-9-24-27-22-28-29-23-
ID76561198036337204,App4920,6221,535,0,80,499,[Unknown Worlds Entertainment],[Unknown Worlds Entertainment],1-36-22-29-30-23-8-17-
ID76561198036337204,App214830,884,81,0,75,249,[Marvelous],[Opus],2-1-9-22-28-23-15-25-
ID76561198036337204,App218640,4670,0,0,59,149,[Shiver Games],[Shiver Games],2-22-28-29-23-
ID76561198036337204,App214560,11216,11,0,91,0,[Microsoft Studios],[Klei Entertainment],2-22-28-29-23-25-
ID76561198036337204,App220780,3223,0,0,77,999,[Bithell Games],[Bithell Games],2-22-28-
ID76561198036337204,App204360,37503,229,0,0,1499,[The Behemoth],[The Behemoth],2-1-36-37-9-38-39-24-27-22-28-29-23-25-
ID76561198036337204,App200710,22146,3272,0,88,1999,[Runic Games],[Runic Games],2-1-9-27-22-29-30-23-
ID76561198036337204,App219910,1385,0,0,75,199,[Daedalic Entertainment],[Daedalic Entertainment],2-22-29-23-
ID76561198036337204,App205100,31194,0,0,91,999,[Bethesda Softworks],[Arkane Studios],2-22-28-23-
ID76561198036337204,App214590,521,0,0,0,399,[Nyu Media],[Edelweiss],2-22-29-18-23-
ID76561198036337204,App219640,42892,202,0,79,2499,[Torn Banner Studios],[Torn Banner Studios],1-22-28-29-30-8-17-
ID76561198036337204,App219150,38156,1,0,85,999,[Devolver Digital],[Dennaton Games],2-22-29-18-
ID76561198036337204,App223220,777,76,0,77,299,[HandyGames Black Forest Games],[Black Forest Games],2-1-24-22-28-29-23-25-
ID76561198036337204,App207040,495,0,0,77,0,[HandyGames],[Digital Reality],2-22-28-23-25-
ID76561198036337204,App606730,125,0,0,0,999,[HandyGames],[Digital Reality Grasshopper Manufacture Gyroscope Games],2-37-39-22-28-29-23-25-
ID76561198036337204,App218740,247,43,0,63,999,[Might and Delight],[Might and Delight],2-24-22-28-
ID76561198036337204,App220240,45512,0,0,88,1999,[Ubisoft],[Ubisoft Montreal Massive Entertainment and Ubisoft Shanghai],2-1-9-18-
ID76561198036337204,App214320,45512,18,0,88,1999,[Ubisoft],[Ubisoft Montreal Massive Entertainment and Ubisoft Shanghai],2-1-9-18-
ID76561198036337204,App4500,8932,0,0,82,1999,[GSC Game World],[GSC Game World],2-1-
ID76561198036337204,App219740,49510,2823,0,79,999,[Klei Entertainment],[Klei Entertainment],2-28-29-30-23-
ID76561198036337204,App322330,67871,1491,0,83,1499,[Klei Entertainment],[Klei Entertainment],2-1-9-27-28-29-30-
