UserId,AppId,Recommendations,PlaytimeForever,Playtime2Weeks,MetacriticScore,FinalPrice,Publishers,Developers,Categories
ID76561198050778339,App427270,164,0,0,87,0,[Robot Entertainment],[Robot Entertainment],2-9-22-35-18-
ID76561198050778339,App317060,0,0,0,0,1999,[Bandai Namco Entertainment],[GameCoder Studios],2-22-28-23-15-
ID76561198050778339,App369200,0,568,0,0,1999,[Bandai Namco Entertainment],[GameCoder Studios],2-22-28-23-15-
ID76561198050778339,App431650,474,0,0,61,1999,[ION LANDS],[ION LANDS],2-22-28-29-23-
ID76561198050778339,App431960,61405,279,0,0,399,[Kristjan Skutta],[Kristjan Skutta],22-29-30-17-
ID76561198050778339,App394160,235,10,0,0,199,[BANDAI NAMCO Entertainment],[BANDAI NAMCO Studios Inc.],2-22-25-
ID76561198050778339,App403400,147,1,0,0,199,[BANDAI NAMCO Entertainment],[BANDAI NAMCO Studios Inc.],2-22-25-
ID76561198050778339,App403430,262,9,0,0,199,[BANDAI NAMCO Entertainment],[BANDAI NAMCO Studios Inc.],2-22-25-
ID76561198050778339,App435400,3876,22,0,78,799,[Adriaan de Jongh],[Adriaan de Jongh Sylvain Tegroeg],2-22-29-18-23-
ID76561198050778339,App437920,2634,0,0,80,1499,[WeirdBeard],[WeirdBeard],2-1-36-37-24-22-28-29-25-
ID76561198050778339,App438100,166,0,0,0,0,[VRChat Inc.],[VRChat Inc.],2-1-36-9-38-27-18-
ID76561198050778339,App34270,1473,158,0,0,0,[SEGA],[D3T Limited],2-1-9-39-28-29-30-
ID76561198050778339,App205230,384,1,0,64,1499,[SEGA],[Arkedo],2-22-28-23-25-
ID76561198050778339,App446990,0,0,0,0,0,[Desert Owl Games LLC],[Desert Owl Games LLC],2-22-29-
ID76561198050778339,App455400,443,129,0,0,199,[BANDAI NAMCO Entertainment],[BANDAI NAMCO Studios Vancouver Hipster Whale 3 Sprockets],2-37-39-24-22-28-29-23-25-
ID76561198050778339,App461560,178,0,0,0,0,[Blind Sky Studios],[Blind Sky Studios],2-22-18-
ID76561198050778339,App377160,89754,24463,0,84,2999,[Bethesda Softworks],[Bethesda Game Studios],2-22-28-23-
ID76561198050778339,App390340,723,0,0,0,499,[CAPCOM],[CAPCOM],2-36-22-28-29-23-25-
ID76561198050778339,App382050,465,0,0,0,499,[Flying Helmet Games],[Flying Helmet Games],2-1-37-9-39-24-22-29-23-
ID76561198050778339,App485510,8878,4494,2061,84,2499,[KOEI TECMO GAMES CO. LTD.],[KOEI TECMO GAMES CO. LTD.],2-36-38-22-28-29-23-15-25-
ID76561198050778339,App48000,14632,186,0,88,999,[Playdead],[Playdead],2-22-28-23-
ID76561198050778339,App375230,3632,486,0,0,0,[Behaviour Interactive Inc.],[Behaviour Interactive Inc.],1-36-20-9-38-22-29-35-18-15-
ID76561198050778339,App368230,3977,0,0,74,499,[Raw Fury],[Noio Licorice],2-22-28-29-23-
ID76561198050778339,App496300,4228,385,0,0,1499,[Raw Fury],[Noio],2-22-28-29-23-
ID76561198050778339,App292030,186719,6437,0,93,3999,[CD PROJEKT RED],[CD PROJEKT RED],2-22-28-29-23-
