UserId,AppId,Recommendations,PlaytimeForever,Playtime2Weeks,MetacriticScore,FinalPrice,Publishers,Developers,Categories
ID76561197993067914,App70,22293,0,0,96,999,[Valve],[Valve],2-1-36-23-8-
ID76561197993067914,App16600,194,98,0,0,999,[RedLynx Ltd.],[Redlynx],2-1-22-
ID76561197993067914,App17480,4630,0,0,82,1999,[Electronic Arts],[EA Los Angeles],2-
ID76561197993067914,App1250,31567,0,0,72,1999,[Tripwire Interactive],[Tripwire Interactive],2-1-9-27-22-29-30-8-15-17-
ID76561197993067914,App35420,31567,0,0,72,1999,[Tripwire Interactive],[Tripwire Interactive],2-1-9-27-22-29-30-8-15-17-
ID76561197993067914,App24800,980,0,0,0,1999,[Electronic Arts],[EA Los Angeles],2-
ID76561197993067914,App24790,2356,0,0,85,1499,[Electronic Arts],[EA Los Angeles],2-
ID76561197993067914,App24810,1021,0,0,77,1999,[Electronic Arts],[EA Los Angeles],2-1-
ID76561197993067914,App40100,3541,0,0,77,1299,[Square Enix],[Gas Powered Games],2-1-22-15-25-
ID76561197993067914,App47700,1959,0,0,64,1999,[Electronic Arts],[EA Los Angeles],2-1-
ID76561197993067914,App2450,730,96,0,73,499,[Ubisoft],[Outerlight Ltd.],2-1-22-
ID76561197993067914,App20920,35118,319,0,88,1999,[CD PROJEKT RED 1C-SoftClub],[CD PROJEKT RED],2-22-29-18-23-25-
ID76561197993067914,App205790,35118,0,0,88,1999,[CD PROJEKT RED 1C-SoftClub],[CD PROJEKT RED],2-22-29-18-23-25-
ID76561197993067914,App204880,6066,51,0,82,3999,[Stardock Entertainment],[Ironclad Games Stardock Entertainment],2-1-36-37-9-38-39-22-29-23-17-
ID76561197993067914,App12750,6066,0,0,82,3999,[Stardock Entertainment],[Ironclad Games Stardock Entertainment],2-1-36-37-9-38-39-22-29-23-17-
ID76561197993067914,App730,2200646,1495,0,83,0,[Valve],[Valve Hidden Path Entertainment],1-22-28-29-30-35-8-15-
ID76561197993067914,App202970,9057,771,0,74,5999,[Activision],[Treyarch],2-1-9-22-28-29-23-8-25-
ID76561197993067914,App202990,9057,1255,0,74,5999,[Activision],[Treyarch],2-1-9-22-28-29-23-8-25-
ID76561197993067914,App212910,9057,519,0,74,5999,[Activision],[Treyarch],2-1-9-22-28-29-23-8-25-
ID76561197993067914,App43110,9057,138,0,74,5999,[Activision],[Treyarch],2-1-9-22-28-29-23-8-25-
ID76561197993067914,App236390,1710,0,0,81,0,[Gaijin Entertainment],[Gaijin Entertainment],2-20-9-27-22-35-18-
ID76561197993067914,App272350,1710,194,0,81,0,[Gaijin Entertainment],[Gaijin Entertainment],2-20-9-27-22-35-18-
ID76561197993067914,App271290,1710,0,0,81,0,[Gaijin Entertainment],[Gaijin Entertainment],2-20-9-27-22-35-18-
